price,propertyAddress,typeOfProperty,noOfBeds,foundFloorPlanImage,mapLocation,area,priceRank,areaRank,Rank Sum
375000,"Victoria Road, Hendon",Flat,×2,https://media.rightmove.co.uk/dir/45k/44870/122232311/44870_31415807_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/122232311#/map?channel=RES_BUY,848,31.0,66.0,97.0
365000,"Hendon Hall Court, London",Flat,×2,https://media.rightmove.co.uk/dir/45k/44870/126312791/44870_31741508_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126312791#/map?channel=RES_BUY,819,24.0,73.5,97.5
450000,"Verulam Court, London",Flat,×3,https://media.rightmove.co.uk/dir/45k/44870/123652736/44870_31521338_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/123652736#/map?channel=RES_BUY,1031,71.5,33.0,104.5
365000,"Brampton Grove, Hendon",Flat,×2,https://media.rightmove.co.uk/dir/45k/44870/127567673/44870_31831792_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127567673#/map?channel=RES_BUY,784,24.0,82.0,106.0
370000,"Hendon Hall Court, Parson Street, Hendon NW4",Apartment,×2,https://media.rightmove.co.uk/dir/47k/46965/81040065/46965_45565_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/81040065#/map?channel=RES_BUY,783,27.0,83.0,110.0
375000,"Burnham Court, Brent Street, Hendon NW4",×2,×1,https://media.rightmove.co.uk/dir/47k/46965/96565852/46965_23457_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/96565852#/map?channel=RES_BUY,775,31.0,87.0,118.0
365000,"Parson Street, London, NW4",Apartment,×2,https://media.rightmove.co.uk/dir/86k/85138/126311699/85138_229575S_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126311699#/map?channel=RES_BUY,754,24.0,98.0,122.0
475000,"High Mount, London",Flat,×2,https://media.rightmove.co.uk/dir/45k/44870/125110496/44870_31655402_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125110496#/map?channel=RES_BUY,981,86.5,37.0,123.5
425000,"Kennyland Court, Hendon Way, Hendon, NW4",Flat,×3,https://media.rightmove.co.uk/dir/47k/46965/127540358/46965_48072_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127540358#/map?channel=RES_BUY,830,54.5,70.0,124.5
450000,"Westchester Drive, Hendon, NW4",Apartment,×2,https://media.rightmove.co.uk/dir/209k/208337/128403434/208337_JSW210017_FLP_00_0000.png,https://www.rightmove.co.uk/properties/128403434#/map?channel=RES_BUY,869,71.5,55.0,126.5
