X (m),Y (m),Z (m),DX
-0.165083464,0.598556152,0.633304545,2.13E-06
-0.165385981,0.599060142,0.634072837,4.93E-06
-0.164096085,0.597150278,0.632229698,5.85E-06
-0.163604044,0.596472265,0.632113766,4.83E-06
-0.164645379,0.598003182,0.633161521,1.22E-05
-0.204320281,0.641751943,0.655632061,3.97E-05
-0.210361922,0.639121647,0.665711337,4.16E-05
-0.209809548,0.637080156,0.666794711,9.47E-06
-0.208886592,0.635912354,0.666553589,7.42E-05
-0.188953038,0.622970414,0.648952318,3.88E-06
-0.189718467,0.625293035,0.647879197,9.21E-05
-0.201218324,0.641415653,0.651651469,3.77E-05
-0.195514565,0.631115996,0.651778307,0.000149898
-0.195860923,0.627998934,0.654611583,1.30E-05
-0.192656878,0.626614479,0.651111336,8.37E-05
-0.192275267,0.625261754,0.653134218,4.99E-05
-0.194806832,0.626894786,0.656369332,7.99E-05
-0.175020959,0.619808933,0.629295221,7.19E-05
-0.172495452,0.615189848,0.628850082,0.000154958
-0.174817343,0.613419023,0.63389448,0.000153826
-0.176227043,0.623092154,0.628560607,0.000135288
-0.179129264,0.62324727,0.633193633,8.35E-05
-0.182181897,0.622319829,0.638798234,4.35E-05
-0.183556341,0.620874962,0.642104913,0.000196473
-0.182778535,0.618228891,0.644525495,5.40E-05
-0.171335595,0.645393367,0.596521869,0.001741742
-0.154280247,0.588884661,0.617211119,0.000175128
-0.156409529,0.629993706,0.581525829,0.00162551
-0.156494119,0.620994214,0.592549009,0.000589144
-0.168793564,0.629955477,0.608690366,0.000312227
-0.158773228,0.619828181,0.598777067,0.000259551
-0.163719851,0.621201142,0.607495389,0.000551582
-0.164658707,0.632689638,0.597061919,0.00219253
-0.171556806,0.636296645,0.607523061,0.000586608
-0.176589581,0.628940377,0.623990338,0.000444136
-0.171460064,0.628731796,0.614987628,0.000559496
-0.174043246,0.634941107,0.613690212,0.000254744
-0.180109237,0.627893199,0.630838464,0.000431417
-0.165995974,0.619965174,0.613103596,0.000191419
-0.171780831,0.621280624,0.622457432,0.000502719
-0.149452684,0.598358601,0.59993259,0.000518581
-0.155990299,0.597278323,0.61394614,6.68E-05
-0.153736592,0.592816524,0.613226579,0.000140118
-0.154294487,0.599163341,0.609089802,0.000421978
-0.160550991,0.596819153,0.622650908,0.000123543
-0.158037786,0.593512081,0.620617133,4.08E-05
-0.15740516,0.596547285,0.617160315,0.000146066
-0.151494416,0.604516379,0.598538584,0.000245809
-0.156436619,0.605932944,0.60739782,0.000553767
-0.157065635,0.600487431,0.61336473,0.000139169
-0.161748899,0.606854908,0.616765298,0.000416676
-0.162789366,0.595320911,0.629672266,4.52E-05
-0.163399737,0.596496962,0.628496731,6.30E-06
-0.158486836,0.599804437,0.616587575,7.35E-05
-0.162824001,0.598461092,0.625583607,6.81E-05
-0.161636398,0.595993593,0.625980096,3.58E-05
-0.161309546,0.600183646,0.621402243,0.000166229
-0.162963826,0.600525862,0.624090636,1.89E-05
-0.163285271,0.596032643,0.632050372,4.98E-06
-0.163381266,0.597292257,0.627711235,4.67E-06
-0.162276314,0.603498719,0.620501636,7.70E-05
-0.165765834,0.611289619,0.620390493,7.54E-05
-0.163983108,0.613534133,0.615151501,0.000587488
-0.170042696,0.610159403,0.628797389,8.01E-05
-0.166753685,0.601056287,0.633206358,3.13E-05
-0.165814269,0.599592169,0.634178469,1.11E-05
-0.16606955,0.606923392,0.624475929,7.52E-05
-0.16689754,0.603890545,0.628408033,2.32E-05
-0.168639792,0.608045514,0.628001493,2.26E-05
-0.168227445,0.60615902,0.628971362,7.07E-05
-0.168732939,0.604483805,0.633504682,6.21E-05
-0.158782839,0.590998231,0.623996542,7.04E-05
-0.159182459,0.59318837,0.622925632,4.44E-05
-0.155578878,0.587285752,0.620764305,2.82E-05
-0.155024656,0.592158207,0.616149371,5.08E-05
-0.157073973,0.591266785,0.620549728,2.72E-05
-0.157640348,0.588663133,0.624215399,4.20E-05
-0.158326349,0.589098111,0.62535291,3.86E-05
-0.155361401,0.585469124,0.621723021,7.12E-05
-0.156803981,0.586815063,0.623363506,1.47E-05
-0.153639554,0.581027618,0.622660965,5.78E-05
-0.13772382,0.576804392,0.593542484,0.000278572
-0.144137763,0.592295241,0.594067357,0.000242074
-0.144482898,0.584675411,0.601391138,0.000257457
-0.152333434,0.593454939,0.610036777,6.99E-05
-0.146385555,0.590935715,0.600082714,0.000526887
-0.14103597,0.599870573,0.579078677,0.001231406
-0.151514716,0.588287115,0.612503108,6.32E-05
-0.151531308,0.612040282,0.59109089,0.000250828
-0.158733835,0.612296475,0.606159998,0.000255933
-0.140233864,0.575613303,0.599797949,0.000575797
-0.145357138,0.577641795,0.608583624,0.000213147
-0.144878866,0.574362387,0.610049334,7.49E-05
-0.146500789,0.573591857,0.613628765,0.000181012
-0.149645667,0.577922042,0.616512765,2.22E-05
-0.149352908,0.576194242,0.617207069,5.43E-05
-0.14931274,0.581404967,0.613431098,0.000146419
-0.147321777,0.576863477,0.612906515,8.01E-05
-0.150663504,0.585145164,0.613249407,0.000133402
-0.15179287,0.584346877,0.615948359,3.65E-05
-0.140263556,0.566940629,0.606282838,6.22E-05
-0.138471031,0.568841728,0.601286978,0.000410938
-0.141012161,0.570033609,0.605578141,0.00013049
-0.141687222,0.566200976,0.609506921,0.000151208
-0.142965847,0.56995211,0.609433121,0.000139279
-0.133821551,0.567934726,0.592201173,0.000537727
-0.133274132,0.575402374,0.584754012,0.000585133
-0.130481002,0.567875416,0.584824503,0.000517363
-0.130987689,0.576416403,0.578379956,0.000302299
-0.128890142,0.561706691,0.586236282,0.000248268
-0.184838239,0.630466881,0.636315404,0.000163276
-0.187296452,0.63012397,0.640460658,0.000158648
-0.180782036,0.648018311,0.612393268,0.002453652
-0.180040117,0.63656942,0.622822037,0.000616488
-0.184698528,0.636696181,0.630589913,0.000549451
-0.20545017,0.644841679,0.654628223,0.000110878
-0.207118278,0.64423444,0.657381102,6.63E-05
-0.203332535,0.646134412,0.650602058,0.000208306
-0.190798093,0.625203421,0.649500815,3.39E-05
-0.189369662,0.623226307,0.65182358,0.00011331
-0.181675787,0.625709283,0.635260317,4.27E-05
-0.187539486,0.623971917,0.645766935,0.000195056
-0.187055463,0.621577274,0.648393611,6.46E-05
-0.184633549,0.624840455,0.640648423,0.0001137
-0.209700562,0.64675162,0.65873482,0.000249464
