price,propertyAddress,typeOfProperty,noOfBeds,foundFloorPlanImage,mapLocation,area in ft
"£399,950","High Mount, Hendon",Flat,×2,https://media.rightmove.co.uk/dir/229k/228116/127128671/228116_BEA220772_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127128671#/map?channel=RES_BUY,760.0
"£400,000","Bell Lane, Hendon, London",Flat,×2,https://media.rightmove.co.uk/dir/12k/11432/125362535/11432_0025_HRT002509780_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125362535#/map?channel=RES_BUY,N/A
"£470,000","Parson Street, Hendon, NW4",Apartment,×2,https://media.rightmove.co.uk/dir/50k/49212/128271710/49212_HH9_FLP_00_0000.png,https://www.rightmove.co.uk/properties/128271710#/map?channel=RES_BUY,N/A
"£639,950","Summer Court, Sunningfields Road, Hendon NW4",Apartment,×2,https://media.rightmove.co.uk/dir/45k/44870/120504071/44870_31316593_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/120504071#/map?channel=RES_BUY,874.0
"£695,000","Beaufort Square, Colindale, London, NW9",Flat,×2,https://media.rightmove.co.uk/dir/12k/11432/127391372/11432_0025_HRT002509859_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/127391372#/map?channel=RES_BUY,N/A
"£575,000","Russell Road, West Hendon NW9",House,×3,https://media.rightmove.co.uk/dir/46k/45890/126125087/45890_HEN220170_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126125087#/map?channel=RES_BUY,858.0
"£550,000","Apartment 122, Hawfinch House, 1 Moorhen Drive, London, NW9 7BX",Apartment,×2,https://media.rightmove.co.uk/dir/88k/87812/86923816/87812_1154074_FLP_01_0000.png,https://www.rightmove.co.uk/properties/86923816#/map?channel=RES_BUY,585.0
"£350,000","Bader Court, 2 Runway Close, London, NW9",Apartment,×2,https://media.rightmove.co.uk/dir/2k/1921/82131472/1921_NFY105600_FLP_01_0000.JPG,https://www.rightmove.co.uk/properties/82131472#/map?channel=RES_BUY,540.0
"£459,950","Raffles House, Hendon",Flat,×3,https://media.rightmove.co.uk/dir/45k/44870/123833180/44870_31540647_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/123833180#/map?channel=RES_BUY,735.0
"£600,000","Thonrey Close, Colindale, NW9",Apartment,×2,https://media.rightmove.co.uk/dir/12k/11432/126014006/11432_0025_HRT002509792_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126014006#/map?channel=RES_BUY,N/A
"£599,000","Apt 139, Harp View, Shearwater Drive, London",Apartment,×2,https://media.rightmove.co.uk/dir/45k/44870/125110496/44870_31655402_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125110496#/map?channel=RES_BUY,981.0
"£220,000","Upper Fosters, New Brent Street, Hendon, London, NW4",Flat,×2,https://media.rightmove.co.uk/dir/168k/167138/78211536/167138_TPR1001223_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/78211536#/map?channel=RES_BUY,N/A
"£399,950","Allard House, Beaufort Park",Flat,×2,https://media.rightmove.co.uk/dir/46k/45890/126554816/45890_HEN210366_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/126554816#/map?channel=RES_BUY,777.0
"£490,000","Heritage Avenue, Colindale, NW9",Apartment,×2,https://media.rightmove.co.uk/dir/250k/249824/125235128/249824_flat_hillview_gardens_london_greater_london_nw4_2jh_3S_1_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125235128#/map?channel=RES_BUY,822.0
"£550,000","Cornelia House, 3 Caversham Road, LONDON, LONDON",Apartment,×2,https://media.rightmove.co.uk/dir/200k/199046/125146685/199046_JTH220040_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/125146685#/map?channel=RES_BUY,648.0
"£675,000","The Crest, London, NW4",Ground Flat,×2,https://media.rightmove.co.uk/dir/168k/167138/116243063/167138_TPR1001351_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/116243063#/map?channel=RES_BUY,N/A
"£500,000","Beaufort Square, Colindale, London, NW9",Flat,×2,https://media.rightmove.co.uk/dir/88k/87812/121272668/87812_1198267_FLP_02_0000.png,https://www.rightmove.co.uk/properties/121272668#/map?channel=RES_BUY,736.0
"£500,000","Damsel Walk, Hendon, London, NW9",Flat,×2,https://media.rightmove.co.uk/dir/45k/44870/123655037/44870_31521489_FLP_00_0000.jpeg,https://www.rightmove.co.uk/properties/123655037#/map?channel=RES_BUY,91.7
